#lev      x           d          u          P
  4  3.12500E-02  1.000E+00  3.204E-06  1.000E+00
  5  7.81250E-02  1.000E+00  3.119E-05  1.000E+00
  5  1.09375E-01  9.998E-01  1.786E-04  9.998E-01
  5  1.40625E-01  9.986E-01  1.654E-03  9.980E-01
  5  1.71875E-01  9.892E-01  1.281E-02  9.850E-01
  5  2.03125E-01  9.532E-01  5.647E-02  9.353E-01
  5  2.34375E-01  8.956E-01  1.295E-01  8.571E-01
  5  2.65625E-01  8.289E-01  2.188E-01  7.692E-01
  5  2.96875E-01  7.617E-01  3.145E-01  6.835E-01
  5  3.28125E-01  6.984E-01  4.110E-01  6.054E-01
  5  3.59375E-01  6.408E-01  5.051E-01  5.366E-01
  5  3.90625E-01  5.894E-01  5.948E-01  4.774E-01
  5  4.21875E-01  5.444E-01  6.787E-01  4.272E-01
  5  4.53125E-01  5.053E-01  7.560E-01  3.849E-01
  5  4.84375E-01  4.715E-01  8.272E-01  3.493E-01
  5  5.15625E-01  4.425E-01  8.911E-01  3.197E-01
  5  5.46875E-01  4.204E-01  9.361E-01  3.000E-01
  5  5.78125E-01  4.196E-01  9.454E-01  2.962E-01
  5  6.09375E-01  4.253E-01  9.327E-01  3.016E-01
  5  6.40625E-01  4.242E-01  9.316E-01  3.023E-01
  5  6.71875E-01  4.157E-01  9.298E-01  3.032E-01
  5  7.03125E-01  3.825E-01  9.308E-01  3.027E-01
  5  7.34375E-01  3.346E-01  9.286E-01  3.034E-01
  5  7.65625E-01  2.889E-01  9.307E-01  3.025E-01
  5  7.96875E-01  2.630E-01  9.288E-01  3.033E-01
  5  8.28125E-01  2.583E-01  9.309E-01  3.037E-01
  5  8.59375E-01  2.592E-01  9.416E-01  3.047E-01
  5  8.90625E-01  2.660E-01  9.389E-01  3.092E-01
  5  9.21875E-01  2.482E-01  8.445E-01  2.778E-01
  5  9.53125E-01  1.495E-01  2.356E-01  1.314E-01
  5  9.84375E-01  1.252E-01  2.035E-03  1.003E-01
